UID_key,liwc_Present,liwc_Motion,
101673-8768690052625427881,0.0689655,0,
280125-2216795262304420685,0.25,0,
321731-2216795262304420685,0.142857,0,
34147718200335715773759193,0.111111,0,
31042658200335715773759193,0.142857,0.0571429,
31559668200335715773759193,0.2,0,
602533731161322356821694,0.0735294,0.0147059,
639216-2216795262304420685,0,0,
54333756755399766928245,0,0,
2332188587905794225980510,0.142857,0,
1791471910271332797543939,0,0,
190682-2216795262304420685,0,0,
25753258200335715773759193,0.166667,0,
942593756755399766928245,0.08,0,
515275-2216795262304420685,0.04,0,
805989-2216795262304420685,0,0,
219361-2216795262304420685,0,0,
532128-2216795262304420685,0,0,
45135-2216795262304420685,0,0,
8253-6408240263544091615,0,0,
16090-6408240263544091615,0.166667,0,
23524098200335715773759193,0.0909091,0,
79869-8768690052625427881,0,0,
2442073869444217863415830,0.0540541,0,
86535937869254660397769,0.0645161,0,
20082898200335715773759193,0,0,
26188668200335715773759193,0.25,0,
162343-8768690052625427881,0,0,
301851910271332797543939,0.25,0,
621624-2216795262304420685,0.2,0,
1686108587905794225980510,0.0714286,0,
481093731161322356821694,0.25,0,
27226958200335715773759193,0,0,
125405937869254660397769,0,0,
1805931910271332797543939,0.111111,0,
137450-2216795262304420685,0,0,
91486409994587123372720,0.075,0,
621570-2216795262304420685,0.0555556,0,
103959-1496946298078483571,0,0,
5530608197782804714237638,0,0,
84260-8768690052625427881,0.0588235,0,
159043-6408240263544091615,0.105263,0,
643193756755399766928245,0.0833333,0,
34109-1496946298078483571,0,0,
94130-8768690052625427881,0,0,
3381748197782804714237638,0,0,
152393-8768690052625427881,0.166667,0,
2875198197782804714237638,0.0175439,0,
1621468197782804714237638,0.0625,0,
1299961910271332797543939,0.166667,0,
1058063869444217863415830,0.333333,0,
2323308197782804714237638,0,0,
601937-2216795262304420685,0.0588235,0,
2390938197782804714237638,0.0526316,0.0263158,
22250208200335715773759193,0.166667,0,
721073756755399766928245,0,0,
4157968707172855443893389,0,0,
26566378200335715773759193,0.0769231,0,
119021-2216795262304420685,0,0,
1326558197782804714237638,0.1,0,
50013-6444548132182876258,0,0,
5770098197782804714237638,0.0625,0,
3654468707172855443893389,0,0,
611134-2216795262304420685,0.176471,0.0294118,
914031910271332797543939,0.0714286,0,
888786409994587123372720,0,0,
170877-2216795262304420685,0.2,0,
258800-2216795262304420685,0,0,
806798707172855443893389,0,0,
1168013731161322356821694,0,0,
35307818200335715773759193,0.0714286,0.0714286,
474758587905794225980510,0.0625,0,
1835361910271332797543939,0,0,
3273778587905794225980510,0.05,0,
37861-2216795262304420685,0.2,0,
270548-2216795262304420685,0,0,
27246028200335715773759193,0,0,
34704-1496946298078483571,0,0,
429969-2216795262304420685,0,0,
260087-2216795262304420685,0.173913,0,
3230188587905794225980510,0.166667,0,
139281910271332797543939,0.142857,0,
68166-2216795262304420685,0.125,0,
550275-2216795262304420685,0,0.1,
65677-8768690052625427881,0.0983607,0.0245902,
31541948200335715773759193,0,0,
231008707172855443893389,0.25,0,
